time (s),acc (m/s2)
1.785,0.00098
1.79,0.00098
1.795,0.00098
1.8,0
1.805,0
1.81,0
1.815,0.00098
1.82,0.00098
1.825,0.00098
1.83,0.00196
1.835,0.00196
1.84,0.00196
1.845,0.00196
1.85,0.00294
1.855,0.00294
1.86,0.00294
1.865,0.00392
1.87,0.00392
1.875,0.00392
1.88,0.0049
1.885,0.0049
1.89,0.0049
1.895,0.0049
1.9,0.0049
1.905,0.0049
1.91,0.0049
1.915,0.0049
1.92,0.0049
1.925,0.0049
1.93,0.0049
1.935,0.0049
1.94,0.0049
1.945,0.0049
1.95,0.0049
1.955,0.0049
1.96,0.0049
1.965,0.0049
1.97,0.0049
1.975,0.0049
1.98,0.0049
1.985,0.0049
1.99,0.0049
1.995,0.0049
2,0.0049
2.005,0.0049
2.01,0.0049
2.015,0.0049
2.02,0.0049
2.025,0.0049
2.03,0.0049
2.035,0.0049
2.04,0.0049
2.045,0.0049
2.05,0.0049
2.055,0.00392
2.06,0.00392
2.065,0.00392
2.07,0.00294
2.075,0.00294
2.08,0.00294
2.085,0.00196
2.09,0.00196
2.095,0.00196
2.1,0.00196
2.105,0.00098
2.11,0.00098
2.115,0.00098
2.12,0
2.125,0
2.13,0
2.135,0
2.14,0
2.145,0
2.15,0
2.155,0
2.16,0
2.165,0
2.17,0
2.175,0
2.18,0
2.185,0
2.19,0
2.195,0
2.2,0
2.205,0
2.21,0
2.215,0.00098
2.22,0.00098
2.225,0.00098
2.23,0.00196
2.235,0.00196
2.24,0.00196
2.245,0.00196
2.25,0.00294
2.255,0.00294
2.26,0.00294
2.265,0.00392
2.27,0.00392
2.275,0.00392
2.28,0.0049
2.285,0.0049
2.29,0.0049
2.295,0.0049
2.3,0.0049
2.305,0.0049
2.31,0.0049
2.315,0.0049
2.32,0.0049
2.325,0.0049
2.33,0.0049
2.335,0.0049
2.34,0.0049
2.345,0.0049
2.35,0.0049
2.355,0.0049
2.36,0.0049
2.365,0.0049
2.37,0.0049
2.375,0.0049
2.38,0.0049
2.385,0.0049
2.39,0.0049
2.395,0.0049
2.4,0.0049
2.405,0.0049
2.41,0.0049
2.415,0.0049
